customer_id,gender,age,partner,number_of_dependents,married,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type
0164-APGRB,f,56,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0164-XAIRP,F,51,No,0,No,No,No,No,No,No,No,No,None
0168-XZKBB,F,34,NA,0,Yes,No,No,No,No,Yes,No,No,Fiber Optic
0174-QRVVY,male,21,Yes,2,Yes,No,No,No,No,No,No,No,None
0177-PXBAT,Male,78,Yes,0,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Fiber Optic
0178-CIIKR,f,60,No,0,No,No,No,No,No,No,No,No,None
0178-SZBHO,male,54,Yes,1,Yes,No,Yes,No,No,Yes,No,No,Fiber
0181-RITDD,M,42,Yes,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0186-CAERR,m,22,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optic
0187-QSXOE,M,71,Yes,0,Yes,No,No,No,No,Yes,Yes,Yes,Fiber
0187-WZNAB,female,56,Yes,2,NA,Yes,No,No,No,No,No,No,Fiber Optic
0188-GWFLE,Male,33,No,0,NA,No,No,No,No,No,No,No,None
0191-EQUUH,Female,32,No,3,NA,Yes,No,No,Yes,No,No,No,cable
0191-ZHSKZ,M,80,No,0,No,Yes,Yes,No,No,Yes,Yes,No,DSL
0193-ESZXP,Female,73,Yes,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic
0195-IESCP,Male,26,Yes,0,Yes,No,No,No,No,No,Yes,Yes,Fiber
0196-JTUQI,female,59,No,0,NA,No,No,No,No,No,No,No,Fiber Optic
0196-VULGZ,F,78,Yes,0,NA,No,No,No,No,No,Yes,No,Fiber Optic
0197-PNKNK,F,47,Yes,1,NA,Yes,No,Yes,No,No,No,No,Fiber
0201-MIBOL,female,68,No,0,No,Yes,No,No,No,Yes,Yes,Yes,Fiber Optic
0201-OAMXR,F,30,No,0,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0203-HHYIJ,m,62,No,0,No,No,No,No,No,No,No,No,None
0206-OYVOC,F,52,Yes,2,Yes,No,No,No,No,No,No,No,None
0206-TBWLC,F,63,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber
0207-MDKNV,F,54,No,0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Optic
0208-BPQEJ,Female,48,Yes,1,NA,No,No,No,No,No,No,No,None
0212-ISBBF,Female,51,No,0,No,No,Yes,No,No,Yes,Yes,Yes,cable
0214-JHPFW,f,22,Yes,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Cable
0215-BQKGS,m,52,No,0,No,Yes,Yes,Yes,No,No,No,No,Optic
0218-QNVAS,m,22,Yes,1,Yes,No,Yes,No,No,Yes,Yes,Yes,Optic
0219-QAERP,male,33,Yes,0,NA,No,No,No,No,No,No,No,None
0219-YTZUE,male,26,Yes,0,Yes,No,Yes,Yes,No,No,No,Yes,Fiber Optic
0220-EBGCE,M,58,No,0,No,No,No,Yes,No,No,Yes,Yes,Optic
0221-NAUXK,m,22,No,1,No,No,No,No,No,No,No,No,None
0221-WMXNQ,Male,66,No,0,No,Yes,No,No,No,No,No,No,Fiber
0222-CNVPT,male,69,No,0,No,Yes,No,No,No,Yes,Yes,Yes,DSL 
0224-HJAPT,m,25,No,0,No,No,No,No,No,No,No,Yes,Cable
0224-NIJLP,M,30,Yes,3,Yes,No,No,No,No,No,No,No,None
0224-RLWWD,f,73,No,0,No,No,No,No,No,No,No,No,Cable
0225-ZORZP,male,46,No,0,No,No,Yes,No,No,No,Yes,Yes,Fiber
0228-MAUWC,male,40,No,0,No,No,No,Yes,Yes,No,No,No,DSL
0229-LFJAF,m,53,No,0,No,Yes,Yes,Yes,Yes,No,No,No,DSL
0230-UBYPQ,M,76,Yes,0,Yes,Yes,No,No,Yes,No,No,No,DSL 
0230-WEQUW,M,38,Yes,0,NA,Yes,Yes,Yes,Yes,Yes,No,No,DSL 
0231-LXVAP,Male,23,No,0,No,No,No,No,Yes,No,No,No,Optic
0233-FTHAV,f,24,No,0,No,No,No,Yes,No,No,No,No,Fiber Optic
0234-TEVTT,F,43,Yes,3,Yes,Yes,No,Yes,No,No,Yes,Yes,DSL 
0235-KGSLC,f,45,No,0,No,No,No,Yes,No,Yes,No,No,Fiber Optic
0236-HFWSV,M,49,No,0,No,No,No,No,No,Yes,Yes,Yes,Optic
0237-YFUTL,F,62,Yes,0,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Optic
0238-WHBIQ,Male,25,Yes,1,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,cable
0239-OXEXL,F,37,No,0,No,Yes,Yes,No,No,No,No,No,Optic
0244-LGNFY,female,35,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL
0247-SLUJI,M,37,Yes,3,Yes,No,No,No,No,No,No,No,None
0248-IPDFW,Female,19,No,0,No,No,No,No,No,No,No,No,cable
0248-PGHBZ,Female,69,No,0,No,Yes,Yes,No,Yes,Yes,No,No,Fiber Optic
0253-ZTEOB,F,44,Yes,1,NA,No,Yes,No,Yes,Yes,Yes,Yes,DSL 
0254-FNMCI,f,19,No,0,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0254-KCJGT,Male,64,Yes,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,cable
0254-WWRKD,F,44,Yes,3,Yes,No,Yes,No,No,No,No,No,Cable
0256-LTHVJ,F,58,Yes,0,Yes,No,No,No,No,No,Yes,Yes,Fiber
0257-KXZGU,female,29,Yes,1,Yes,No,Yes,Yes,No,No,No,Yes,DSL 
0257-ZESQC,Female,80,Yes,0,Yes,Yes,No,No,No,No,No,No,Cable
0258-NOKBL,Male,22,No,0,No,No,Yes,Yes,No,No,Yes,Yes,Optic
0259-GBZSH,Male,22,No,0,No,No,No,No,No,Yes,No,Yes,cable
0260-ZDLGK,f,50,No,2,No,No,No,Yes,Yes,Yes,Yes,Yes,cable
0263-FJTQO,male,53,Yes,2,Yes,Yes,No,No,Yes,Yes,No,No,cable
0264-CNITK,Female,45,Yes,2,Yes,No,No,No,No,No,No,No,None
0265-EDXBD,Male,76,Yes,0,Yes,No,No,No,No,No,No,No,Fiber Optic
0265-PSUAE,F,57,Yes,3,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber
0266-CLZKZ,f,45,Yes,3,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Optic
0266-GMEAO,m,43,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber
0268-QKIWO,f,41,NA,0,No,No,No,No,No,No,No,No,None
0269-XFESX,m,22,Yes,3,Yes,No,No,No,No,No,No,No,None
0270-THENM,m,62,Yes,2,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL 
0274-JKUJR,M,21,Yes,2,NA,Yes,Yes,Yes,No,Yes,Yes,Yes,Cable
0277-BKSQP,M,49,Yes,3,NA,No,No,No,No,Yes,No,No,DSL
0277-ORXQS,Male,33,Yes,4,NA,No,No,No,Yes,Yes,Yes,Yes,Cable
0278-YXOOG,Male,30,No,0,No,No,No,No,No,No,No,No,None
0280-XJGEX,Male,38,No,1,NA,No,Yes,Yes,No,Yes,Yes,Yes,Optic
0281-CNTZX,m,56,Yes,0,NA,No,No,No,No,No,No,No,None
0282-NVSJS,f,70,Yes,1,Yes,No,No,No,Yes,No,No,No,DSL 
0285-INHLN,m,54,Yes,6,NA,Yes,Yes,No,No,No,No,No,DSL
0289-IVARM,f,57,No,0,No,Yes,Yes,Yes,No,No,No,No,DSL 
0292-WEGCH,F,40,Yes,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL 
0295-PPHDO,m,56,No,0,No,No,No,No,No,Yes,Yes,Yes,Fiber Optic
0295-QVKPB,male,38,No,0,No,No,No,Yes,Yes,Yes,No,No,DSL
0297-RBCSG,m,61,No,0,NA,No,Yes,No,Yes,No,Yes,Yes,DSL 
0298-XACET,Male,35,Yes,2,Yes,No,Yes,Yes,Yes,Yes,No,No,DSL 
0301-FIDRB,female,61,Yes,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL
0301-KOBTQ,male,50,No,0,NA,No,No,No,No,No,No,No,None
0302-JOIVN,female,47,Yes,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber
0303-UNCIP,male,35,No,0,No,No,No,Yes,No,No,Yes,Yes,DSL
0303-WMMRN,Male,32,No,0,No,No,No,No,No,No,No,No,None
0305-SQECB,Female,54,No,1,NA,Yes,No,No,Yes,No,No,No,DSL 
0306-JAELE,m,61,No,0,No,No,No,No,Yes,Yes,Yes,Yes,Optic
0307-BCOPK,F,62,No,0,No,No,No,No,No,No,No,No,None
0308-GIQJT,Male,80,No,0,No,No,Yes,No,Yes,Yes,Yes,No,Fiber
0308-IVGOK,female,23,NA,0,No,No,Yes,Yes,Yes,No,No,No,DSL 
0310-MVLET,f,63,Yes,0,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber
0310-SUCIN,f,50,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable
0310-VQXAM,male,56,No,0,No,No,No,No,No,No,No,No,None
0311-QYWSS,f,63,No,0,No,Yes,No,No,No,No,No,No,DSL
0311-UNPFF,Female,58,No,0,No,No,No,No,No,Yes,Yes,Yes,Fiber
0314-TKOSI,female,29,No,0,NA,Yes,Yes,No,No,No,No,No,cable
0315-LVCRK,m,54,No,0,No,No,No,Yes,No,No,Yes,Yes,Optic
0318-QUUOB,Male,25,Yes,0,NA,No,No,No,No,Yes,No,Yes,Fiber Optic
0318-ZOPWS,Female,31,Yes,0,Yes,No,No,No,No,No,No,No,None
0319-QZTCO,Female,25,Yes,2,Yes,No,Yes,No,No,Yes,No,No,DSL 
0320-DWVTU,F,46,No,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Optic
0320-JDNQG,M,28,Yes,0,NA,Yes,No,No,Yes,Yes,Yes,Yes,Fiber Optic
0322-CHQRU,Male,63,No,0,No,No,No,No,No,No,No,No,DSL
0322-YINQP,Male,37,No,0,No,Yes,No,No,No,No,No,No,DSL 
0323-XWWTN,male,44,No,1,No,No,No,No,No,No,No,No,None
0324-BRPCJ,f,74,Yes,0,Yes,No,Yes,No,No,Yes,Yes,Yes,Cable
0325-XBFAC,Male,44,No,0,NA,No,No,Yes,No,Yes,Yes,Yes,Optic
0326-VDYXE,f,21,Yes,0,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0327-WFZSY,M,62,Yes,3,NA,No,No,Yes,No,Yes,Yes,Yes,Fiber
0328-GRPMV,f,43,No,0,No,No,No,No,No,No,No,No,Fiber
0329-GTIAJ,F,40,No,0,No,No,Yes,No,Yes,Yes,Yes,Yes,Optic
0330-BGYZE,Male,48,Yes,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Optic
0330-IVZHA,Female,55,Yes,0,Yes,No,No,No,No,No,No,No,Fiber Optic
0334-GDDSO,m,77,No,0,No,No,Yes,No,No,No,No,No,Fiber
0334-ZFJSR,Female,41,Yes,0,Yes,Yes,Yes,No,Yes,No,No,No,cable
0336-KXKFK,m,43,No,0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL 
0336-PIKEI,M,69,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL 
0337-CNPZE,Female,63,No,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Optic
0343-QLUZP,M,38,No,0,No,Yes,Yes,Yes,No,No,No,No,DSL 
0345-HKJVM,Female,43,No,0,NA,No,No,No,No,Yes,Yes,Yes,Fiber
0345-XMMUG,female,29,Yes,0,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Optic
0347-UBKUZ,Female,46,No,0,No,No,No,No,No,No,No,No,None
0348-SDKOL,f,33,NA,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0354-VXMJC,M,60,Yes,3,Yes,No,No,No,No,No,No,No,None
0354-WYROK,f,70,Yes,0,Yes,No,No,Yes,Yes,Yes,Yes,No,Fiber
0356-ERHVT,male,54,Yes,0,Yes,No,No,No,No,No,No,No,cable
0356-OBMAC,female,80,No,0,No,No,Yes,Yes,Yes,Yes,No,No,Fiber Optic
0357-NVCRI,female,41,No,3,NA,No,No,No,No,No,No,No,None
0361-HJRDX,f,38,No,0,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL
0362-RAOQO,female,48,No,0,No,No,No,No,No,No,No,No,None
0362-ZBZWJ,M,46,No,0,No,No,No,No,No,No,Yes,Yes,Optic
0363-QJVFX,Male,22,No,0,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Optic
0363-SVHYR,m,28,Yes,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL
0365-BZUWY,m,58,Yes,0,NA,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic
0365-GXEZS,m,55,Yes,0,Yes,No,No,Yes,Yes,No,No,No,Optic
0365-TRTPY,Female,52,No,0,NA,Yes,Yes,Yes,No,No,No,No,Optic
0366-NQSHS,m,42,No,0,No,No,No,No,No,No,No,No,None
0369-ZGOVK,female,56,Yes,2,Yes,No,No,No,No,No,No,No,Fiber Optic
0373-AIVNJ,m,34,NA,0,No,Yes,Yes,Yes,No,No,No,No,cable
0374-AACSZ,f,63,No,0,No,Yes,No,No,No,No,No,No,DSL 
0374-FIUCA,male,59,Yes,0,Yes,No,No,No,No,No,No,No,None
0374-IOEGQ,Female,62,No,0,NA,No,No,No,No,No,No,No,Cable
0375-HVGXO,f,31,No,0,NA,No,No,No,No,Yes,No,No,DSL
0376-OIWME,Male,24,Yes,0,Yes,Yes,No,No,No,Yes,Yes,Yes,Fiber
0376-YMCJC,M,21,No,0,No,No,No,No,Yes,Yes,No,Yes,cable
0377-JBKKT,M,21,Yes,3,NA,Yes,Yes,No,Yes,No,No,Yes,DSL 
0378-CJKPV,female,56,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optic
0378-NHQXU,Female,31,Yes,0,Yes,No,No,Yes,No,Yes,No,No,Fiber
0378-TOVMS,f,20,No,0,No,No,No,No,Yes,No,Yes,Yes,Optic
0378-XSZPU,male,31,Yes,0,Yes,Yes,Yes,Yes,No,No,No,No,Cable
0379-DJQHR,m,60,Yes,0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,DSL 
0380-NEAVX,male,72,No,0,NA,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic
0380-ZCSBI,male,56,No,0,No,No,No,No,No,No,No,No,None
0383-CLDDA,F,42,No,0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL 
0384-LPITE,Male,38,No,0,NA,Yes,Yes,Yes,No,Yes,Yes,Yes,cable
0384-RVBPI,male,64,No,0,No,Yes,No,Yes,No,No,Yes,Yes,DSL
0386-CWRGM,F,61,Yes,1,Yes,No,No,No,No,No,No,No,None
0388-EOPEX,female,28,Yes,0,Yes,Yes,No,No,No,No,No,No,Fiber Optic
0390-DCFDQ,f,76,Yes,2,Yes,No,No,No,No,No,No,No,Fiber Optic
0392-BZIUW,Female,44,Yes,0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0394-YONDK,M,28,Yes,3,Yes,No,No,No,No,No,No,No,None
0396-HUJBP,Female,34,No,0,No,No,No,No,No,No,No,No,None
0396-UKGAI,M,25,No,3,No,No,Yes,No,Yes,No,No,Yes,DSL
0396-YCHWO,M,58,Yes,0,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic
0397-GZBBC,M,70,Yes,0,Yes,No,No,No,No,Yes,Yes,No,Fiber
0397-ZXWQF,Male,24,No,0,No,No,No,No,No,No,No,No,None
0401-WDBXM,M,22,Yes,3,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Optic
0402-CQAJN,female,22,No,0,NA,No,Yes,Yes,No,Yes,Yes,Yes,Fiber
0402-OAMEN,F,36,Yes,1,Yes,No,No,No,No,No,No,No,None
0404-AHASP,M,23,Yes,0,Yes,No,No,No,No,No,No,No,None
0404-SWRVG,M,21,No,2,No,No,No,No,No,No,No,Yes,Optic
0406-BPDVR,f,75,Yes,0,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic
0407-BDJKB,m,59,Yes,0,Yes,No,Yes,Yes,No,Yes,No,No,Optic
0409-WTMPL,F,35,Yes,0,NA,Yes,Yes,Yes,No,Yes,Yes,Yes,Fiber
0410-IPFTY,Female,64,Yes,0,Yes,No,Yes,No,No,No,Yes,Yes,Fiber
0411-EZJZE,Female,62,No,0,No,No,No,No,No,Yes,No,No,DSL 
0412-UCCNP,m,20,No,0,No,Yes,No,Yes,Yes,No,No,No,DSL 
0415-MOSGF,f,58,No,0,NA,No,No,No,No,No,No,No,DSL
0419-YAAPX,M,44,Yes,0,NA,No,Yes,No,No,Yes,No,No,Fiber Optic
0420-BWTPW,male,40,No,0,No,No,No,No,No,No,No,No,DSL 
0420-HLGXF,female,72,No,0,No,No,No,Yes,No,Yes,Yes,No,Fiber Optic
0420-TXVSG,Male,43,Yes,0,Yes,Yes,Yes,Yes,No,No,No,No,DSL 
0422-OHQHQ,female,23,Yes,0,NA,No,No,No,No,No,No,No,None
0422-UXFAP,F,34,Yes,0,Yes,No,No,Yes,No,Yes,Yes,Yes,Optic
0423-UDIJQ,M,74,No,0,No,No,No,No,Yes,No,No,No,DSL
0426-TIRNE,f,54,No,0,No,No,No,No,No,No,No,No,None
0428-AXXLJ,male,29,No,0,No,No,No,No,No,No,No,No,None
0428-IKYCP,Male,56,Yes,0,NA,No,No,Yes,No,Yes,No,No,Fiber Optic
0430-IHCDJ,Male,40,No,0,No,No,No,No,No,No,No,No,DSL
0431-APWVY,female,37,Yes,0,NA,No,No,No,No,Yes,Yes,Yes,Optic
0432-CAJZV,male,47,No,0,No,No,No,No,No,Yes,Yes,Yes,Fiber
0434-CSFON,F,34,Yes,0,Yes,No,No,Yes,No,Yes,Yes,Yes,Optic
0436-TWFFZ,female,21,No,0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL 
0439-IFYUN,f,78,No,0,No,No,Yes,No,No,No,No,No,Optic
0440-EKDCF,male,47,Yes,0,Yes,No,Yes,Yes,Yes,No,No,No,Cable
0440-MOGPM,female,51,No,0,No,No,Yes,Yes,No,Yes,Yes,Yes,DSL 
0440-QEXBZ,female,64,No,0,NA,No,No,No,No,No,No,No,DSL
0440-UEDAI,f,59,No,0,No,No,Yes,Yes,Yes,No,Yes,Yes,Fiber Optic
0442-TDYUO,male,44,Yes,0,NA,No,No,No,No,No,No,No,None
0442-ZXKVS,f,79,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Optic
0447-BEMNG,f,28,Yes,0,Yes,Yes,No,Yes,No,No,Yes,Yes,cable
