customer_id,tenure,internet_service,phone_service,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals
0361-HJRDX,68,Yes,No,No,28,No,Offer A,No,0
0362-RAOQO,40,No,Yes,No,0,No,None,No,0
0362-ZBZWJ,36,Yes,Yes,Yes,22,Yes,None,No,0
0363-QJVFX,32,Yes,Yes,Yes,73,Yes,Offer C,No,0
0363-SVHYR,71,Yes,Yes,Yes,59,Yes,Offer A,Yes,10
0365-BZUWY,17,Yes,Yes,Yes,2,Yes,Offer D,Yes,2
0365-GXEZS,18,Yes,Yes,No,19,Yes,Offer D,Yes,6
0365-TRTPY,37,Yes,Yes,Yes,30,No,None,No,0
0366-NQSHS,2,No,Yes,No,0,No,None,No,0
0369-ZGOVK,28,Yes,Yes,No,24,Yes,Offer C,Yes,6
0373-AIVNJ,9,Yes,No,No,19,Yes,Offer E,No,0
0374-AACSZ,1,Yes,Yes,No,24,No,Offer E,No,0
0374-FIUCA,65,No,Yes,No,0,No,None,Yes,1
0374-IOEGQ,3,Yes,Yes,No,27,Yes,None,No,0
0375-HVGXO,1,Yes,No,No,8,Yes,Offer E,No,0
0376-OIWME,36,Yes,Yes,No,41,Yes,Offer C,Yes,3
0376-YMCJC,23,Yes,Yes,Yes,69,Yes,None,No,0
0377-JBKKT,22,Yes,Yes,No,82,Yes,Offer D,Yes,9
0378-CJKPV,72,Yes,Yes,Yes,18,Yes,None,Yes,1
0378-NHQXU,17,Yes,Yes,Yes,9,Yes,None,Yes,7
0378-TOVMS,3,Yes,Yes,No,73,Yes,None,No,0
0378-XSZPU,58,Yes,Yes,No,21,Yes,Offer B,Yes,1
0379-DJQHR,67,Yes,Yes,No,18,Yes,None,Yes,1
0380-NEAVX,34,Yes,Yes,No,12,Yes,None,No,0
0380-ZCSBI,10,No,Yes,No,0,No,None,No,0
0383-CLDDA,69,Yes,Yes,Yes,28,Yes,Offer A,No,0
0384-LPITE,40,Yes,No,No,19,Yes,None,No,0
0384-RVBPI,20,Yes,Yes,No,29,Yes,Offer D,No,0
0386-CWRGM,46,No,Yes,No,0,No,None,Yes,9
0388-EOPEX,2,Yes,Yes,No,41,Yes,None,Yes,1
0390-DCFDQ,1,Yes,Yes,No,30,Yes,Offer E,Yes,1
0392-BZIUW,72,Yes,Yes,Yes,7,Yes,None,Yes,7
0394-YONDK,70,No,Yes,Yes,0,No,None,No,0
0396-HUJBP,2,No,Yes,No,0,No,None,No,0
0396-UKGAI,23,Yes,Yes,No,47,Yes,Offer D,No,0
0396-YCHWO,36,Yes,Yes,Yes,12,Yes,Offer C,Yes,4
0397-GZBBC,59,Yes,Yes,Yes,15,Yes,None,No,0
0397-ZXWQF,67,No,Yes,No,0,No,Offer A,No,0
0401-WDBXM,72,Yes,Yes,Yes,59,No,None,Yes,4
0402-CQAJN,37,Yes,Yes,Yes,59,Yes,None,No,0
0402-OAMEN,72,No,Yes,Yes,0,No,Offer A,Yes,4
0404-AHASP,72,No,Yes,No,0,No,Offer A,Yes,10
0404-SWRVG,3,Yes,Yes,Yes,71,Yes,Offer E,No,0
0406-BPDVR,54,Yes,Yes,Yes,8,Yes,Offer B,No,0
0407-BDJKB,60,Yes,Yes,Yes,16,Yes,None,Yes,1
0409-WTMPL,58,Yes,Yes,Yes,18,Yes,Offer B,Yes,8
0410-IPFTY,31,Yes,Yes,No,9,Yes,Offer C,Yes,1
0411-EZJZE,3,Yes,Yes,Yes,29,No,None,No,0
0412-UCCNP,55,Yes,Yes,No,48,Yes,None,No,0
0415-MOSGF,1,Yes,Yes,No,30,Yes,Offer E,No,0
0419-YAAPX,49,Yes,Yes,No,23,Yes,Offer B,Yes,1
0420-BWTPW,8,Yes,No,No,16,Yes,None,No,0
0420-HLGXF,39,Yes,Yes,Yes,13,Yes,None,No,0
0420-TXVSG,66,Yes,Yes,Yes,15,Yes,Offer A,Yes,9
0422-OHQHQ,15,No,Yes,No,0,No,None,Yes,7
0422-UXFAP,51,Yes,Yes,Yes,23,No,Offer B,Yes,1
0423-UDIJQ,9,Yes,Yes,No,12,Yes,None,No,0
0426-TIRNE,1,No,Yes,No,0,No,Offer E,No,0
0428-AXXLJ,25,No,Yes,No,0,No,Offer C,No,0
0428-IKYCP,22,Yes,Yes,No,18,Yes,None,Yes,9
0430-IHCDJ,15,Yes,Yes,Yes,28,Yes,None,No,0
0431-APWVY,28,Yes,Yes,No,13,Yes,None,Yes,1
0432-CAJZV,3,Yes,Yes,No,10,Yes,None,No,0
0434-CSFON,47,Yes,Yes,Yes,14,Yes,Offer B,Yes,3
0436-TWFFZ,67,Yes,Yes,Yes,41,Yes,Offer A,No,0
0439-IFYUN,18,Yes,Yes,No,18,No,Offer D,No,0
0440-EKDCF,62,Yes,Yes,No,15,Yes,Offer B,Yes,1
0440-MOGPM,41,Yes,Yes,Yes,12,Yes,None,No,0
0440-QEXBZ,44,Yes,Yes,Yes,22,Yes,Offer B,No,0
0440-UEDAI,53,Yes,Yes,No,6,Yes,None,No,0
0442-TDYUO,48,No,Yes,No,0,No,None,Yes,4
0442-ZXKVS,54,Yes,Yes,Yes,12,Yes,Offer B,Yes,2
0447-BEMNG,48,Yes,No,No,58,No,None,Yes,3
0447-RXSGD,24,Yes,Yes,Yes,6,Yes,Offer C,No,0
0454-OKRCT,33,Yes,Yes,No,27,Yes,Offer C,No,0
0455-ENTCR,66,Yes,Yes,Yes,21,Yes,None,Yes,1
0455-XFASS,3,Yes,Yes,No,19,Yes,None,Yes,3
0458-HEUZG,13,Yes,No,No,13,No,Offer D,No,0
0459-SPZHJ,63,Yes,Yes,Yes,69,Yes,None,Yes,1
0461-CVKMU,23,Yes,Yes,No,28,Yes,None,No,0
0463-TXOAK,52,No,Yes,Yes,0,No,None,No,0
0463-WZZKO,3,No,Yes,No,0,No,Offer E,No,0
0463-ZSDNT,10,Yes,Yes,No,73,No,None,No,0
0464-WJTKO,72,No,Yes,No,0,No,None,Yes,10
0468-YRPXN,29,Yes,Yes,No,19,Yes,Offer C,No,0
0471-ARVMX,62,Yes,Yes,Yes,18,Yes,Offer B,Yes,8
0471-LVHGK,41,Yes,Yes,Yes,29,Yes,None,Yes,1
0475-RIJEP,43,Yes,Yes,Yes,25,Yes,Offer B,No,0
0479-HMSWA,26,Yes,Yes,No,19,Yes,Offer C,No,0
0480-BIXDE,19,Yes,Yes,No,23,Yes,Offer D,Yes,9
0480-KYJVA,72,No,Yes,Yes,0,No,None,Yes,8
0481-SUMCB,45,Yes,Yes,Yes,15,Yes,Offer B,No,0
0484-FFVBJ,32,Yes,Yes,No,12,Yes,None,No,0
0484-JPBRU,41,No,Yes,Yes,0,No,None,No,0
0485-ZBSLN,65,No,Yes,Yes,0,No,None,Yes,4
0486-HECZI,55,Yes,Yes,Yes,27,Yes,None,No,0
0486-LGCCH,11,No,Yes,No,0,No,Offer D,Yes,2
0487-CRLZF,49,Yes,Yes,No,13,Yes,Offer B,No,0
0487-RPVUM,61,Yes,Yes,Yes,28,Yes,None,Yes,1
0487-VVUVK,25,No,Yes,No,0,No,None,Yes,5
0488-GSLFR,1,Yes,Yes,No,27,Yes,None,No,0
0489-WMEMG,23,Yes,Yes,No,53,Yes,Offer D,No,0
0491-KAPQG,21,Yes,Yes,Yes,42,Yes,Offer D,No,0
0495-RVCBF,1,Yes,Yes,No,26,Yes,None,No,0
0495-ZBNGW,5,Yes,Yes,Yes,14,No,None,Yes,1
0496-AHOOK,24,Yes,Yes,No,30,Yes,Offer C,Yes,10
0504-HHAPI,27,Yes,Yes,Yes,11,Yes,None,No,0
0505-SPOOW,70,No,Yes,No,0,No,Offer A,Yes,7
0506-LVNGN,5,Yes,Yes,No,9,Yes,None,No,0
0506-YLVKJ,46,No,Yes,No,0,No,None,Yes,1
0508-OOLTO,2,Yes,Yes,No,10,Yes,None,Yes,5
0508-SQWPL,57,No,Yes,No,0,No,Offer B,Yes,9
0511-JTEOY,1,Yes,Yes,No,9,Yes,Offer E,No,0
0512-FLFDW,60,Yes,Yes,Yes,26,Yes,None,Yes,3
0513-RBGPE,37,Yes,Yes,Yes,9,Yes,None,Yes,6
0515-YPMCW,1,Yes,Yes,No,8,No,None,No,0
0516-OOHAR,28,Yes,Yes,No,13,Yes,None,Yes,8
0516-QREYC,24,No,Yes,No,0,No,None,No,0
0516-UXRMT,62,Yes,Yes,Yes,47,Yes,None,No,0
0516-VRYBW,18,No,Yes,No,0,No,Offer D,No,0
0516-WJVXC,5,Yes,Yes,No,69,Yes,None,No,0
0519-DRGTI,20,No,Yes,No,0,No,None,Yes,9
0519-XUZJU,1,Yes,Yes,No,8,Yes,None,No,0
0520-FDVVT,35,Yes,Yes,No,48,Yes,None,No,0
0523-VNGTF,52,Yes,No,No,23,Yes,None,No,0
0524-IAVZO,30,Yes,Yes,Yes,41,Yes,Offer C,Yes,1
0526-SXDJP,72,Yes,No,No,17,Yes,Offer A,Yes,7
0529-ONKER,15,Yes,Yes,Yes,19,Yes,Offer D,No,0
0530-IJVDB,70,Yes,Yes,Yes,17,Yes,Offer A,No,0
0531-XBKMM,66,Yes,Yes,Yes,17,Yes,None,No,0
0531-ZZJWQ,55,Yes,Yes,Yes,27,Yes,None,Yes,6
0533-BNWKF,55,Yes,Yes,Yes,27,No,Offer B,Yes,2
0533-UCAAU,57,Yes,Yes,Yes,10,Yes,None,Yes,2
0536-ACXIP,72,Yes,Yes,Yes,2,Yes,None,Yes,9
0536-BGFMZ,28,No,Yes,No,0,No,None,Yes,3
0536-ESJEP,54,Yes,Yes,No,25,Yes,None,Yes,8
0537-QYZZN,24,Yes,Yes,Yes,28,Yes,Offer C,Yes,6
0541-FITGH,2,Yes,Yes,No,24,Yes,Offer E,Yes,6
0547-HURJB,12,No,Yes,No,0,No,Offer D,No,0
0549-CYCQN,51,Yes,Yes,Yes,11,Yes,None,No,0
0550-DCXLH,13,Yes,Yes,No,21,Yes,None,No,0
0556-FJEGU,58,Yes,Yes,No,69,Yes,Offer B,No,0
0557-ASKVU,18,Yes,Yes,No,7,Yes,Offer D,Yes,2
0559-CKHUS,29,No,Yes,No,0,No,Offer C,Yes,6
0562-FGDCR,72,Yes,Yes,Yes,30,Yes,None,Yes,9
0562-HKHML,71,No,Yes,Yes,0,No,Offer A,Yes,9
0562-KBDVM,70,Yes,No,No,11,Yes,Offer A,No,0
0564-JJHGS,9,Yes,Yes,Yes,10,Yes,None,No,0
0564-MUUQK,20,Yes,Yes,Yes,48,Yes,None,Yes,5
0565-IYCGT,69,Yes,Yes,Yes,9,Yes,Offer A,No,0
0565-JUPYD,63,Yes,Yes,Yes,85,Yes,None,No,0
0567-GGCAC,7,Yes,Yes,No,14,Yes,None,No,0
0567-XRHCU,69,Yes,No,No,59,Yes,None,Yes,7
0568-ONFPC,5,No,Yes,Yes,0,No,Offer E,Yes,1
0570-BFQHT,9,Yes,Yes,No,13,Yes,None,No,0
0572-ZJKLT,46,Yes,Yes,Yes,18,Yes,Offer B,Yes,10
0575-CUQOV,60,Yes,Yes,No,21,Yes,Offer B,Yes,10
0576-WNXXC,27,Yes,Yes,Yes,7,Yes,None,Yes,1
0577-WHMEV,16,Yes,Yes,Yes,52,Yes,Offer D,Yes,2
0578-SKVMF,22,Yes,Yes,No,53,Yes,None,Yes,4
0580-PIQHM,41,Yes,Yes,Yes,82,Yes,Offer B,Yes,7
0581-BXBUB,4,Yes,Yes,No,8,Yes,None,No,0
0581-MDMPW,24,Yes,Yes,Yes,9,Yes,Offer C,No,0
0582-AVCLN,38,No,Yes,No,0,No,None,No,0
