customer_id,contract,paperless_billing,payment_method,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,unit
0133-BMFZO,Month-to-Month,Yes,Electronic check,8625,36.81,181.65,0,0,73.62,255.27,cents
0134-XWXCE,One Year,No,Bank transfer (automatic),74.85,7.72,3268.05,17.91,0,339.68,3589.82,dollars
0135-NMXAP,Month-to-Month,Yes,Bank transfer (automatic),8975,14.38,1052.4,0,0,172.56,1224.96,cents
0136-IFMYD,Two Year,Yes,Electronic check,109.95,18.41,7634.25,0,0,1270.29,8904.54,dollars
0137-OCGAB,Month-to-Month,Yes,Mailed check,80.2,1.23,80.2,0,0,1.23,81.43,dollars
0137-UDEUO,Month-to-Month,No,Mailed check,1985.0000000000002,25.75,63.75,0,0,77.25,141,cents
0139-IVFJG,Month-to-Month,No,Electronic check,90.35,4.65,190.5,0,0,9.3,199.8,dollars
0141-YEAYS,Two Year,Yes,Bank transfer (automatic),8645,2.97,2401.05,0,0,80.19,2481.24,cents
0142-GVYSN,Month-to-Month,Yes,Electronic check,20.3,13.34,511.25,0,0,346.84,858.09,dollars
0147-ESWWR,Month-to-Month,Yes,Electronic check,101.25,20.15,3949.15,0,0,785.85,4735,dollars
0148-DCDOS,Month-to-Month,Yes,Bank transfer (automatic),94.7,34.88,2362.1,0,0,872,3234.1,dollars
0151-ONTOV,Month-to-Month,No,Mailed check,70.9,39.81,70.9,0,0,39.81,110.71,dollars
0156-FVPTA,Month-to-Month,Yes,Electronic check,54.2,27.24,1152.7,0,0,599.28,1751.98,dollars
0164-APGRB,Two Year,Yes,Electronic check,11490,48.37,8496.7,0,0,3482.64,11979.34,cents
0164-XAIRP,Two Year,Yes,Bank transfer (automatic),19.55,10.64,470.2,0,0,255.36,725.56,dollars
0168-XZKBB,Month-to-Month,Yes,Electronic check,86.85,7.84,1564.4,0,0,148.96,1713.36,dollars
0174-QRVVY,Two Year,No,Credit card (automatic),25.35,9.2,1847.55,0,0,653.2,2500.75,dollars
0177-PXBAT,One Year,Yes,Bank transfer (automatic),109.9,25.15,3694.7,0,0,829.95,4524.65,dollars
0178-CIIKR,Month-to-Month,No,Mailed check,1995,2.69,58,0,0,8.07,66.07,cents
0178-SZBHO,Month-to-Month,No,Electronic check,87.2,1.09,4017.45,0,0,51.23,4068.68,dollars
0181-RITDD,Two Year,No,Mailed check,108.15,1.76,6825.65,0,0,109.12,6934.77,dollars
0186-CAERR,One Year,Yes,Bank transfer (automatic),11630,2.88,8309.55,0,0,204.48,8514.03,cents
0187-QSXOE,Two Year,Yes,Electronic check,89,41.97,605.45,0,0,293.79,899.24,dollars
0187-WZNAB,Month-to-Month,No,Mailed check,74.4,46.66,1972.35,0,0,1259.82,3232.17,dollars
0188-GWFLE,Month-to-Month,No,Mailed check,20.05,1.81,33.7,0,0,3.62,37.32,dollars
0191-EQUUH,Two Year,No,Bank transfer (automatic),35.05,0,844.45,0,0,0,844.45,dollars
0191-ZHSKZ,One Year,Yes,Electronic check,7475,38.61,2111.3,0,0,1158.3,3269.6,cents
0193-ESZXP,One Year,Yes,Credit card (automatic),105.5,16.94,6205.5,0,0,982.52,7188.02,dollars
0195-IESCP,Month-to-Month,Yes,Electronic check,85.25,2.02,855.3,0,100,20.2,975.5,dollars
0196-JTUQI,Month-to-Month,Yes,Credit card (automatic),7520,9.27,633.85,0,0,83.43,717.28,cents
0196-VULGZ,Month-to-Month,Yes,Electronic check,84.35,28.71,474.9,0,0,172.26,647.16,dollars
0197-PNKNK,One Year,No,Bank transfer (automatic),8445,38.92,5848.6,0,40,2685.48,8574.08,cents
0201-MIBOL,Two Year,Yes,Bank transfer (automatic),10240,10.45,6471.85,0,0,689.7,7161.55,cents
0201-OAMXR,One Year,No,Credit card (automatic),115.55,10.21,8127.6,0,0,714.7,8842.3,dollars
0203-HHYIJ,One Year,No,Bank transfer (automatic),25.3,5.57,676.35,0,0,139.25,815.6,dollars
0206-OYVOC,Two Year,Yes,Mailed check,19.25,24.33,864.2,0,0,1119.18,1983.38,dollars
0206-TBWLC,One Year,Yes,Mailed check,114.65,11.4,6049.5,0,0,615.6,6665.1,dollars
0207-MDKNV,Month-to-Month,No,Electronic check,10510,22.39,1582.75,0,0,335.85,1918.6,cents
0208-BPQEJ,Month-to-Month,No,Bank transfer (automatic),19.4,8.25,198.1,0,0,99,297.1,dollars
0212-ISBBF,Month-to-Month,Yes,Electronic check,5035,0,1098.85,0,0,0,1098.85,cents
0214-JHPFW,Two Year,No,Bank transfer (automatic),5780,0,4039.3,1.01,0,0,4038.29,cents
0215-BQKGS,Month-to-Month,Yes,Credit card (automatic),84.3,24.73,2438.6,0,130,741.9,3310.5,dollars
0218-QNVAS,One Year,No,Bank transfer (automatic),100.55,28.34,7113.75,16.99,0,2012.14,9108.9,dollars
0219-QAERP,One Year,No,Credit card (automatic),19.8,9.81,576.65,0,0,294.3,870.95,dollars
0219-YTZUE,Month-to-Month,Yes,Bank transfer (automatic),84.8,28.77,371.9,0,0,115.08,486.98,dollars
0220-EBGCE,Month-to-Month,Yes,Electronic check,85.85,14.14,167.3,0,0,28.28,195.58,dollars
0221-NAUXK,One Year,Yes,Bank transfer (automatic),1995,7.86,219.5,0,0,78.6,298.1,cents
0221-WMXNQ,One Year,No,Electronic check,75.35,36.4,273.4,0,0,145.6,419,dollars
0222-CNVPT,Two Year,Yes,Credit card (automatic),4880,0,2555.05,0,0,0,2555.05,cents
0224-HJAPT,Month-to-Month,No,Electronic check,4715,22.01,223.15,0,0,110.05,333.2,cents
0224-NIJLP,Two Year,No,Mailed check,2014.9999999999998,2.87,165.5,0,0,22.96,188.46,cents
0224-RLWWD,One Year,Yes,Electronic check,44.3,23.91,89.3,0,0,47.82,137.12,dollars
0225-ZORZP,Month-to-Month,No,Electronic check,84.3,13.72,235.05,0,0,41.16,276.21,dollars
0228-MAUWC,Month-to-Month,No,Electronic check,5955,11.85,1144.6,0,0,225.15,1369.75,cents
0229-LFJAF,Two Year,No,Bank transfer (automatic),69.65,3.66,4908.25,0,0,263.52,5171.77,dollars
0230-UBYPQ,One Year,No,Bank transfer (automatic),36.1,0,2298.9,0,0,0,2298.9,dollars
0230-WEQUW,Two Year,Yes,Bank transfer (automatic),56.6,0,3789.2,0,0,0,3789.2,dollars
0231-LXVAP,Month-to-Month,Yes,Electronic check,7590.000000000001,44.56,75.9,0,0,44.56,120.46,cents
0233-FTHAV,One Year,Yes,Bank transfer (automatic),79.2,15.29,4765,0,0,917.4,5682.4,dollars
0234-TEVTT,One Year,No,Credit card (automatic),4500,0,2196.3,0,0,0,2196.3,cents
0235-KGSLC,Month-to-Month,Yes,Credit card (automatic),8555,33.34,85.55,0,0,33.34,118.89,cents
0236-HFWSV,Month-to-Month,Yes,Electronic check,93.35,48.93,1444.65,0,0,733.95,2178.6,dollars
0237-YFUTL,Month-to-Month,Yes,Bank transfer (automatic),109.65,34.57,5405.8,0,0,1728.5,7134.3,dollars
0238-WHBIQ,Two Year,No,Credit card (automatic),8970,33.75,6339.3,0,0,2430,8769.3,cents
0239-OXEXL,Month-to-Month,No,Mailed check,8425,43.27,3847.6,0,100,1990.42,5938.02,cents
0244-LGNFY,Two Year,No,Bank transfer (automatic),92.65,30,6733,0,0,2160,8893,dollars
0247-SLUJI,Month-to-Month,No,Mailed check,19.7,34.28,19.7,0,0,34.28,53.98,dollars
0248-IPDFW,Month-to-Month,Yes,Electronic check,50.1,29.13,50.1,0,0,29.13,79.23,dollars
0248-PGHBZ,Two Year,Yes,Bank transfer (automatic),9245,2.57,6140.85,0,0,172.19,6313.04,cents
0253-ZTEOB,Two Year,No,Electronic check,7965.000000000001,8.94,3870.3,0,0,429.12,4299.42,cents
0254-FNMCI,Two Year,Yes,Electronic check,109.9,41.91,7624.2,0,0,3017.52,10641.72,dollars
0254-KCJGT,One Year,Yes,Credit card (automatic),81.4,41.34,4354.45,0,0,2149.68,6504.13,dollars
0254-WWRKD,One Year,No,Credit card (automatic),50.55,46.9,3431.75,0,0,3142.3,6574.05,dollars
0256-LTHVJ,Month-to-Month,Yes,Electronic check,8105,16.85,2227.1,0,0,471.8,2698.9,cents
0257-KXZGU,Month-to-Month,No,Bank transfer (automatic),62.45,33.28,2045.55,0,0,1064.96,3110.51,dollars
0257-ZESQC,Month-to-Month,Yes,Bank transfer (automatic),75.2,7.02,1929.35,0,0,189.54,2118.89,dollars
0258-NOKBL,Month-to-Month,No,Electronic check,90.4,31.48,268.45,0,0,94.44,362.89,dollars
0259-GBZSH,Month-to-Month,Yes,Electronic check,85.65,40.43,181.5,0,0,80.86,262.36,dollars
0260-ZDLGK,Month-to-Month,Yes,Mailed check,72.9,35.49,651.4,0,0,319.41,970.81,dollars
0263-FJTQO,Two Year,Yes,Credit card (automatic),7050,44.49,3486.65,0,0,2224.5,5711.15,cents
0264-CNITK,Two Year,No,Bank transfer (automatic),20.1,31.03,1389.6,0,0,2203.13,3592.73,dollars
0265-EDXBD,Month-to-Month,Yes,Electronic check,74.9,47.34,2303.35,0,0,1514.88,3818.23,dollars
0265-PSUAE,Month-to-Month,No,Bank transfer (automatic),10070,27.27,1522.7,0,0,436.32,1959.02,cents
0266-CLZKZ,Two Year,Yes,Bank transfer (automatic),105.65,17.79,6717.9,0,0,1191.93,7909.83,dollars
0266-GMEAO,Two Year,Yes,Credit card (automatic),114.3,15.94,8058.55,0,0,1147.68,9206.23,dollars
0268-QKIWO,Month-to-Month,No,Electronic check,19.75,24.63,58.85,0,0,73.89,132.74,dollars
0269-XFESX,One Year,No,Mailed check,24.35,48.02,538.5,0,0,1104.46,1642.96,dollars
0270-THENM,Two Year,No,Bank transfer (automatic),69.85,28.37,5102.35,25.24,0,2042.64,7119.75,dollars
0274-JKUJR,Month-to-Month,No,Mailed check,58.85,0,465.7,0,0,0,465.7,dollars
0277-BKSQP,Month-to-Month,Yes,Electronic check,54.4,1.56,475.1,0,0,12.48,487.58,dollars
0277-ORXQS,Two Year,No,Bank transfer (automatic),50.55,0,3364.55,0,110,0,3474.55,dollars
0278-YXOOG,Month-to-Month,No,Mailed check,21.05,34.26,113.85,0,0,171.3,285.15,dollars
0280-XJGEX,Month-to-Month,Yes,Bank transfer (automatic),103.7,44.33,5036.3,0,0,2172.17,7208.47,dollars
0281-CNTZX,Two Year,Yes,Bank transfer (automatic),19.95,38.36,1234.8,0,0,2416.68,3651.48,dollars
0282-NVSJS,Month-to-Month,Yes,Mailed check,29.3,0,355.9,0,0,0,355.9,dollars
0285-INHLN,Month-to-Month,Yes,Credit card (automatic),54.75,36.19,1510.3,0,0,977.13,2487.43,dollars
0289-IVARM,Month-to-Month,No,Electronic check,60.55,44.81,1982.6,0,0,1568.35,3550.95,dollars
0292-WEGCH,Month-to-Month,Yes,Electronic check,8620,4.33,4524.05,0,0,233.82,4757.87,cents
0295-PPHDO,Month-to-Month,Yes,Electronic check,95.45,5.59,95.45,0,0,5.59,101.04,dollars
0295-QVKPB,Month-to-Month,Yes,Credit card (automatic),63.95,13.96,318.1,0,0,69.8,387.9,dollars
0297-RBCSG,One Year,Yes,Bank transfer (automatic),6534.999999999999,41.79,1231.85,0,60,794.01,2085.86,cents
0298-XACET,Two Year,No,Mailed check,50.2,0,2554,27.01,0,0,2526.99,dollars
0301-FIDRB,Two Year,Yes,Bank transfer (automatic),6380,0,4684.3,0,0,0,4684.3,cents
0301-KOBTQ,Two Year,Yes,Bank transfer (automatic),20.05,14.91,614.45,9.73,0,477.12,1081.84,dollars
0302-JOIVN,Month-to-Month,No,Electronic check,101.15,16.88,842.9,0,0,135.04,977.94,dollars
0303-UNCIP,One Year,No,Mailed check,65,37.55,2531.8,0,140,1539.55,4211.35,dollars
0303-WMMRN,Month-to-Month,Yes,Mailed check,19.25,21.01,86.05,0,0,105.05,191.1,dollars
0305-SQECB,One Year,Yes,Mailed check,36.05,0,402.6,0,100,0,502.6,dollars
0306-JAELE,Month-to-Month,Yes,Electronic check,9610,31.09,453.4,0,0,155.45,608.85,cents
0307-BCOPK,One Year,No,Mailed check,19.05,41.51,326.65,0,0,664.16,990.81,dollars
0308-GIQJT,One Year,No,Bank transfer (automatic),105.75,6.1,7382.85,0,0,433.1,7815.95,dollars
0308-IVGOK,One Year,Yes,Credit card (automatic),40.4,0,422.6,0,0,0,422.6,dollars
0310-MVLET,Month-to-Month,Yes,Electronic check,99.15,49.33,6010.05,0,0,3009.13,9019.18,dollars
0310-SUCIN,One Year,Yes,Bank transfer (automatic),84.8,23.06,6046.1,0,0,1637.26,7683.36,dollars
0310-VQXAM,Month-to-Month,No,Mailed check,1985.0000000000002,40.74,178.8,0,0,366.66,545.46,cents
0311-QYWSS,Month-to-Month,Yes,Electronic check,4945,39.16,314.6,0,0,234.96,549.56,cents
0311-UNPFF,Month-to-Month,Yes,Bank transfer (automatic),88.8,38.09,2274.35,0,50,990.34,3314.69,dollars
0314-TKOSI,Month-to-Month,No,Mailed check,55.15,6.98,322.9,0,0,41.88,364.78,dollars
0315-LVCRK,Month-to-Month,No,Electronic check,8480,30.57,888.75,0,0,336.27,1225.02,cents
0318-QUUOB,Month-to-Month,Yes,Electronic check,80.55,43.67,80.55,0,0,43.67,124.22,dollars
0318-ZOPWS,Two Year,Yes,Bank transfer (automatic),20.15,2.82,973.35,0,0,138.18,1111.53,dollars
0319-QZTCO,Month-to-Month,Yes,Credit card (automatic),58.7,11.47,168.6,0,0,34.41,203.01,dollars
0320-DWVTU,Two Year,No,Mailed check,99.5,43.57,5424.25,0,0,2309.21,7733.46,dollars
0320-JDNQG,Month-to-Month,Yes,Electronic check,99.85,37.95,2331.3,0,0,872.85,3204.15,dollars
0322-CHQRU,Month-to-Month,No,Electronic check,4535,25.49,89.5,0,0,50.98,140.48,cents
0322-YINQP,Month-to-Month,Yes,Mailed check,48.55,11.35,48.55,0,0,11.35,59.9,dollars
0323-XWWTN,Two Year,Yes,Mailed check,26.4,33.87,121.25,0,0,101.61,222.86,dollars
0324-BRPCJ,Month-to-Month,Yes,Electronic check,100.2,21.33,6851.65,0,0,1450.44,8302.09,dollars
0325-XBFAC,Month-to-Month,Yes,Electronic check,9470,19.49,740.3,0,80,155.92,976.22,cents
0326-VDYXE,One Year,Yes,Electronic check,9765,16.66,6982.5,0,80,1166.2,8228.7,cents
0327-WFZSY,One Year,No,Electronic check,10000,17.29,3835.55,0,0,674.31,4509.86,cents
0328-GRPMV,Month-to-Month,Yes,Electronic check,70.1,17.37,70.1,0,0,17.37,87.47,dollars
0329-GTIAJ,Month-to-Month,Yes,Electronic check,97.9,30.18,315.3,0,0,90.54,405.84,dollars
0330-BGYZE,One Year,No,Bank transfer (automatic),102.5,19.22,6157.6,0,0,1153.2,7310.8,dollars
0330-IVZHA,Month-to-Month,No,Electronic check,69.95,17.08,330.15,0,0,85.4,415.55,dollars
0334-GDDSO,Month-to-Month,Yes,Electronic check,81.35,9.22,233.7,0,0,27.66,261.36,dollars
0334-ZFJSR,One Year,Yes,Credit card (automatic),66.05,35.38,3462.1,44.53,150,1945.9,5513.47,dollars
0336-KXKFK,Two Year,Yes,Credit card (automatic),61.2,0,4390.25,0,0,0,4390.25,dollars
0336-PIKEI,Two Year,No,Bank transfer (automatic),74.4,5.27,5360.75,0,140,379.44,5880.19,dollars
0337-CNPZE,Month-to-Month,Yes,Electronic check,106.3,10.43,4443.45,0,130,427.63,5001.08,dollars
0343-QLUZP,Two Year,No,Bank transfer (automatic),39.6,0,2424.5,38.46,0,0,2386.04,dollars
0345-HKJVM,Month-to-Month,No,Electronic check,8930,2.6,577.6,0,0,15.6,593.2,cents
0345-XMMUG,Two Year,Yes,Credit card (automatic),108.9,2,4854.3,0,0,92,4946.3,dollars
0347-UBKUZ,Month-to-Month,No,Mailed check,19.9,2.74,320.45,0,0,41.1,361.55,dollars
0348-SDKOL,Month-to-Month,Yes,Credit card (automatic),102.1,3.51,5885.4,0,100,203.58,6188.98,dollars
0354-VXMJC,Two Year,No,Credit card (automatic),19.6,34.04,426.65,0,0,782.92,1209.57,dollars
0354-WYROK,Month-to-Month,Yes,Electronic check,98.9,47.95,2911.3,0,0,1486.45,4397.75,dollars
0356-ERHVT,Month-to-Month,Yes,Bank transfer (automatic),45.9,12.95,521.9,0,0,142.45,664.35,dollars
0356-OBMAC,Two Year,Yes,Bank transfer (automatic),99.9,17.33,5706.3,0,0,970.48,6676.78,dollars
0357-NVCRI,Month-to-Month,No,Credit card (automatic),2005,12.87,471.7,0,0,321.75,793.45,cents
0361-HJRDX,Two Year,No,Credit card (automatic),64.35,0,4539.6,0,130,0,4669.6,dollars
0362-RAOQO,Two Year,No,Credit card (automatic),19.65,26.03,830.25,0,0,1041.2,1871.45,dollars
0362-ZBZWJ,Month-to-Month,Yes,Electronic check,84.9,24.66,3067.2,0,0,887.76,3954.96,dollars
0363-QJVFX,Month-to-Month,Yes,Credit card (automatic),108.15,27.69,3432.9,0,0,886.08,4318.98,dollars
0363-SVHYR,Two Year,No,Bank transfer (automatic),86.85,10.11,6263.8,0,0,717.81,6981.61,dollars
0365-BZUWY,Month-to-Month,Yes,Electronic check,102.55,10.11,1742.5,0,0,171.87,1914.37,dollars
0365-GXEZS,Month-to-Month,No,Electronic check,7820,31.79,1468.75,0,0,572.22,2040.97,cents
0365-TRTPY,Month-to-Month,No,Bank transfer (automatic),9120,11.73,3382.3,0,0,434.01,3816.31,cents
0366-NQSHS,Month-to-Month,No,Mailed check,1935.0000000000002,44.34,46.35,0,0,88.68,135.03,cents
0369-ZGOVK,One Year,Yes,Bank transfer (automatic),7040.000000000001,12.94,1992.2,0,0,362.32,2354.52,cents
0373-AIVNJ,One Year,No,Mailed check,39.55,0,373,0,0,0,373,dollars
0374-AACSZ,Month-to-Month,No,Electronic check,5015,38.33,50.15,0,50,38.33,138.48,cents
0374-FIUCA,Two Year,Yes,Credit card (automatic),2039.9999999999998,23.46,1414.45,0,0,1524.9,2939.35,cents
0374-IOEGQ,Month-to-Month,No,Electronic check,4460,15.59,122.7,0,0,46.77,169.47,cents
0375-HVGXO,Month-to-Month,Yes,Electronic check,34.7,0,34.7,0,0,0,34.7,dollars
0376-OIWME,Month-to-Month,Yes,Electronic check,93.6,41.33,3366.05,16.56,0,1487.88,4837.37,dollars
0376-YMCJC,Month-to-Month,Yes,Electronic check,90.6,38.69,1943.2,4.73,0,889.87,2828.34,dollars
0377-JBKKT,Month-to-Month,Yes,Mailed check,57.95,42.58,1271.8,0,0,936.76,2208.56,dollars
0378-CJKPV,Two Year,No,Credit card (automatic),112.1,4.56,7965.95,18.88,0,328.32,8275.39,dollars
